憲政党, 第三次伊藤内閣が自由党との提携を切り、超然主義に戻った。これに対し、自由・進歩両党は合同して作成した党
隈板内閣, 衆議院に圧倒的多数を持つ合同内閣の出現により、伊藤内閣が議会運営の見通しを失って退陣し、はじめての政党内閣となった内閣
文官任用令, 政党の影響が官僚に及ぶのを防ぐために１８９９年に改正された法令
軍部大臣現役武官制, 政党の力が軍部に及ぶのをはばむために１９００年に制定された制度
立憲政友会, 第二次山県内閣の政策に批判的になった憲政党が政党結成を目指していた伊藤博文に接近し、伊藤派の官僚と共に１９００年に結成された政党
桂太郎, 立憲政友会を率いた第四次伊藤内閣を組織したが、貴族院の反対に苦しめられ退陣し、その後成立した内閣
西園寺公望, 山県の後継者である桂太郎らが率いる勢力とで、政界を二分した立憲政友会の、伊藤の後を受けた総裁
元老, 非公式に天皇を補佐するとして山県や伊藤がついた役職
中国分割, 日清戦争により清国の弱体化を知った欧米列強が清国に対して勢力範囲を設定していったこと
義和団事件, １９００年に清国で起きた「扶清滅洋」を唱える団体が勢力を増して各地で外国人を襲い、北京の列国公使館を包囲した事件
