accomplish, ～を成し遂げる
accuse, ～を訴える
arise, 起こる
arrest, ～を逮捕する
associate, ～を連想する
attend, ～に出席する
avoid, ～を避ける
awake, ～を起こす
behave, 振る舞う
bury, ～を埋める
combine, ～を結合させる
commit, （罪、過失など）を犯す
common, 共通の
consequence, 結果
consider, ～を熟考する
constitution, 構成
continue, ～を続ける
contrary, 反対の
contribute, ～を与える
court, 法廷
crime, 犯罪
dare, あえて～する
draw, ～を引く
encounter, ～に偶然出会う
engage, ～を約束させる
esteem, ～を重んじる
eternal, 永遠の
evidence, 証拠
evil, （道徳上）悪い
exception, 例外
excuse, ～を容赦する
expose, ～をさらす
faith, 信頼
fulfill, ～を果たす
gaze, じっと見る
gender, 性
grateful, 感謝する
guilty, 有罪の
harmful, 有害な
hide, ～を隠す
hierarchy, 階級制度
humanity, 人間性
imply, ～を含む
include, ～を含む
infinite, 無限の
influence, ～に影響を及ぼす
innocent, 無邪気な
inspire, ～を鼓舞する
introduce, ～を紹介する
jail, 刑務所
legal, 法律上の
let, ～させてやる
logic, 論理
matter, 重要である
medium, 中間の
mercy, 慈悲
moral, 道徳の
mutual, 相互の
neutral, 中立の
notice, ～に気が付く
own, ～を所有する
parallel, 平行な
polish, ～を磨く
pray, 祈る
principle, 原理
prohibit, ～を禁止する
psychology, 心理学
punish, ～を罰する
radical, 根本的な
reasonable, 妥当な
recall, ～を思い出す
receive, ～を受け取る
recognize, ～を見分ける
reform, ～を改善する
regular, 規則正しい
religion, 宗教
remark, ～と言う
resist, ～に抵抗する
rob, ～から盗む
sacrifice, 犠牲
serve, ～に仕える
settle, ～を確定する
sin, （宗教・道徳上の）罪
spoil, ～をだめにする
stable, 安定した
stick, ～を突き刺す
strategy, 策略
struggle, もがく
substitute, ～を代わりに用いる
suicide, 自殺
sweep, ～を掃く
tear, ～を引き裂く
tend, ～しがちである
theory, 理論
trial, 試み
vice, 悪
voluntary, 進んで行う
waste, ～を浪費する
welfare, 幸福
witness, 目撃者
