abolish,～を廃止する
account,預金口座
administration,政治
agriculture,農業
alternative,二者択一の
ambassador,大使
announce,～を公示する
attempt,～を試みる
benefit,利益
cabinet,内閣
candidate,立候補者
cause,～を引き起こす
charge,料金
civil,市民の
complicated,込み入った
concern,～に関係する
conference,会議
confirm,～を確認する
congress,学会
corporation,法人
crush,～を押しつぶす
debt,借金
demand,～を要求する
democracy,民主主義
dismiss,～を解雇する
due,当然支払われるべき
duty,職務
economic,経済の
election,選挙
enrich,～を豊かにする
entire,全体の
escape,逃げる
establish,～を設立する
expense,費用
explode,爆発する
extend,～を延期する
fee,料金
financial,財政上の
firm,商会
gain,～を得る
general,一般的な
guarantee,保証
heir,相続人
immediate,即座の
income,収入
industry,産業
inferior,下級の
insurance,保険
intense,強烈な
intensive,激しい
interrupt,～を妨げる
involve,～を含む
legacy,遺産
major,大きい方の
military,軍人
minor,小さい方の
minority,少数派
minute,非常に小さい
negotiation,交渉
obscure,不明瞭な
offer,～を提供する
officer,役人
official,公の
parliament,議会
patent,特許
pension,年金
permanent,永続する
permit,～を許す
political,政治の
politics,政治
population,人口
primary,第1位の
profit,利益
prove,～を立証する
provide,～を与える
pursue,～を追う
regard,～を見なす
replace,～に取って代わる
republic,共和国
result,結果
reveal,～を明らかにする
reverse,逆の
scream,悲鳴を上げる
significant,重大な
situation,状況
social,社会の
spread,～を広げる
starve,餓死する
sum,合計
summit,頂上
tax,税金
treaty,条約
troop,軍隊
union,労働組合
value,価値
visible,目に見える
vote,投票する
wage,賃金
warn,～に警告する
wealthy,裕福な
