absolute, 完全な
accept, ～を受け取る
achieve, ～を達成する
acquire, （財産、権利など）を取得する
actual, 実際の
advertise, ～を広告する
alarm, 驚き
allow, ～を許可する
apply, ～を適用する
appointment, 任命
approximate, おおよその
assert, ～を断言する
assure, ～に保証する
attention, 注意
attribute, ～を帰する
broadcast, ～を放送する
burden, 荷
claim, ～を要求する
colleague, 同僚
command, ～を命ずる
complete, 全部そろった
component, 構成要素
conclude, ～であると結論を下す
concrete, 具体的な
considerable, かなりの
consult, ～に意見を求める
context, 前後関係
contract, 契約
convince, ～を納得させる
correct, 正しい
crisis, 危機
deal, 取り扱う
deserve, ～に値する
determine, ～を決定する
direct, ～を向ける
distribute, ～を分配する
earn, ～をもうける
employ, ～を雇う
enterprise, 事業
equipment, 装備
experience, 経験
following, 次の
forbid, ～を禁止する
force, ～に強いる
forgive, ～を許す
former, 前者の
function, 機能
glow, 輝き
handle, ～を扱う
import, ～を輸入する
initial, 初めの
instance, 例
lack, 欠如
latter, 後者の
limit, ～を制限する
load, 積荷
manufacture, （機械で大規模に）～を作る
menace, 脅威
mend, ～を直す
mission, 任務
obey, ～に従う
object, 物
obtain, ～を獲得する
occupy, ～を占める
omit, ～を除外する
operate, （機械など）を操作する
opportunity, 機会
overlook, ～を見落とす
persuade, ～を説得する
phase, 段階
plain, 単純な
portion, 一部
previous, （時間・順序が）前の
principal, 主な
priority, 優先
privilege, 特権
procedure, 手順
produce, ～を製造する
promote, ～を昇進させる
property, 特性
purpose, 目的
quit, ～をやめる
require, ～を必要とする
resolve, ～を決定する
responsible, 責任がある
retire, 退職する
reward, 報酬
scheme, 計画
share, ～を分ける
specific, 特定の
steady, 固定された
substance, 物質
surface, 表面
suspend, ～をつり下げる
temporary, 一時的な
thread, 糸
tight, きつい
track, 足跡
ultimate, 最終の
utility, 有用性
