accompany, ～と一緒に行く
admit, ～を認める
adopt, ～を採用する
advantage, 有利（な点）
apologize, 謝罪する
argue, 討論する
ashamed, 恥じて
attitude, 態度
authority, 権威
bold, 大胆な
bother, ～を悩ます
bow, お辞儀する
capable, 有能な
capacity, 収容能力
career, 経歴
charity, 慈善
cheat, ～をだます
childhood, 子ども時代
companion, 仲間
compare, ～を比較する
confidence, 信頼
conflict, 闘争
congratulate, ～を祝う
cooperate, 協力する
courage, 勇気
debate, ～を論争する
deceive, ～を欺く
deliver, ～を届ける
depend, 頼る
desert, ～を見捨てる
despair, 絶望
dialect, 方言
direction, 方向
discrimination, 差別
distinguish, ～を見分ける
doubt, ～を疑う
elderly, 年配の
emotion, 感情
envy, しっと
excel, 優れている
facility, 器用さ
faculty, 能力
fame, 名声
feature, 特徴
genius, 天才
genuine, 誠実な
greet, ～にあいさつする
humble, 謙虚な
identify, ～を確認する
ignore, ～を無視する
impress, ～に印象付ける
individual, 個々の
inherit, ～を相続する
intellect, 知性
intelligent, 知能の高い
interaction, 相互作用
interfere, 邪魔をする
interpreter, 通訳者
jealous, ねたんで
junior, 後輩の
leak, 漏れる
liberal, 気前の良い
loyal, 忠誠な
match, ～と調和する
mess, めちゃくちゃな様子
mischief, いたずら
misery, 惨めさ
neat, こぎれいな
neglect, ～を軽視する
noble, 気品のある
nod, うなずく
outstanding, 目立った
patient, 辛抱強い
pity, 哀れみ
poverty, 貧乏
prejudice, 偏見
promising, 前途有望な
propose, ～を提案する
puzzle, ～を困らせる
rage, 激怒
refrain, 慎む
relate, ～を関係させる
rely, 信頼する
remind, ～に思い出させる
reputation, 評判
resemble, ～に似ている
respond, 返事をする
rumor, うわさ
selfish, 利己的な
senior, 先輩の
sensitive, 敏感な
severe, 深刻な
similar, よく似た
stress, ～を強調する
suit, ～に適する
superior, 優れている
tender, 優しい
tidy, きちんとした
trust, ～を信じる
wisdom, 賢明さ
