abstract, 抽象的な
agent, 代理人
aim, 狙う
antique, 古風な
apparel, 衣服
arrange, ～を手配する
article, 記事
aspect, 側面
attach, ～をくっつける
breed, ～を飼育する
brilliant, きらきら輝く
broad, 幅の広い
classical, 古典文学の
client, 依頼人
collect, ～を集める
compose, ～を構成する
consist, 成る
construct, ～を組み立てる
contrast, ～を対照する
cooperation, 協力
crew, 乗組員
definition, 定義
departure, 出発
describe, ～を述べる
discuss, ～を話し合う
display, ～を展示する
draft, 草稿
eliminate, ～を除く
emphasis, 強調
emphasize, ～を強調する
entertain, ～を楽しませる
eventual, 最終的な
exhibit, ～を展示する
explain, ～を明らかにする
explore, ～を探検する
express, ～を述べる
factor, 要因
favorite, お気に入りの
figure, 姿
focus, 焦点
frame, 骨組み
fund, 基金
fundamental, 基本的な
graceful, 優美な
hazard, 危険
horrible, 恐ろしい
hypothesis, 仮説
illustrate, ～を説明する
imaginary, 想像上の
improve, ～を改良する
insist, 強く主張する
language, 言語
latest, 最新の
launch, （事業など）を始める
layer, 層
literature, 文学
maintain, ～を維持する
mass, 集団
material, 材料
medium, 媒体
mention, ～について言及する
occur, 起こる
odd, 奇妙な
peculiar, 独特の
perceive, ～に気付く
perform, ～を上演する
philosophy, 哲学
poetry, （集合的に）詩
precise, 正確な
prefer, ～を好む
pretend, ～を装う
proceed, 続ける
proportion, 割合
publish, ～を出版する
quality, 特質
quote, ～を引用する
ratio, 比
refer, 言及する
reinforce, ～を補強する
remote, 遠い
repair, ～を修理する
represent, ～を表す
resource, 資源
review, ～を再検討する
row, （横の）列
sculpture, 彫像
select, ～を選び出す
shift, ～を移す
specialize, 専門にする
spectacle, 壮観
steep, 険しい
stiff, 堅い
suggest, ～を提案する
transform, ～の形を変える
trend, 傾向
typical, 典型的な
universal, 全世界の
vary, ～を変える
venture, 冒険
wander, （あてもなく）歩き回る
