absorb, ～を吸収する
abundant, 豊富な
adapt, ～を適合させる
alter, ～を変える
analysis, 分析
average, 平均
burst, 破裂する
characteristic, 特有な
contain, ～を含む
creature, 生き物
demonstrate, ～を（実験などによって）説明する
descend, ～を下る
detail, 詳細
device, 装置
diameter, 直径
digest, ～を消化する
discover, ～を発見する
divide, ～を分ける
element, 要素
encyclopedia, 百科事典
enormous, 莫大な
environment, 環境
eruption, 爆発
exist, 存在する
expand, ～を増す
experiment, 実験
extraordinary, 並外れた
female, 女性の
flame, 炎
flow, 流れ込む
fluid, 流動体
fossil, 化石
freeze, 凍る
fuel, 燃料
gene, 遺伝子
gradual, 段々の
grain, 穀物
gravity, 重大さ
habitat, （動植物の）生息地
harvest, 収穫
huge, 巨大な
humid, 湿気の多い
hydrogen, 水素
indicate, ～を指し示す
invent, ～を考案する
investigate, ～を調べる
liquid, 液体
male, 男性の
mammal, 哺乳動物
mature, 成熟した
maximum, 最大限の
measure, ～を測る
melt, 溶ける
mine, 鉱山
minimum, 最小限の
nuclear, 核の
observe, ～を観察する
obvious, 明らかな
opposite, 反対側の
orbit, 軌道
oxygen, 酸素
particular, 特定の
petroleum, 石油
phenomenon, 現象
pile, 積み重ね
pole, （地球などの）極
pollution, 汚染
preserve, ～を保存する
pressure, 圧迫
protect, ～を保護する
quantity, 量
random, でたらめな
react, （～に）反応する
reflect, ～を反射する
relative, 相対的な
remarkable, 注目すべき
research, 研究
rust, さび
satellite, 衛星
search, ～を捜す
seek, ～を捜し求める
shallow, 浅い
smooth, 滑らかな
soil, 土壌
solution, 解決
species, （分類上の）種
survey, 調査
survive, ～より長生きする
temperature, 温度
thermometer, 温度計
thick, 厚い
tide, 風潮
tiny, ごく小さい
treat, ～を扱う
tremendous, すさまじい
unit, 単位
vanish, （突然）消える
vapor, 蒸気
vast, 広大な
weigh, 重さがある
